Title,Photographer,Studio Name,Studio Location,Original Creator,Date-EDTF,Date,Dates,Notes,Subjects,Location Depicted,Object Type,Physical Description,Negative Number,Digital Collection,Collection,Contributor,Repository,Ordering Information,Acquisition,Rights URI,Restrictions,Relation,Resource Identifier,Transmission Data,Type-DCMI,Institution,Photographer's Reference Number,Previous version of Title (6/2023),Previous version of Notes (6/2023),OCLC number,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
"Puget Sound Salish basketmaker, circa 1900","Wilse, Anders B.",,United States--Washington (State)--Seattle,,1900~,1900~,"1897, 1898, 1899, 1900","Coast Salish peoples are a diverse group of Indigenous people of the Pacific Northwest who speak related languages and have some common cultural traditions. The Coast Salish grouping includes many different tribal groups, all with their own names for themselves and most with their own languages. Coast Salish peoples have lived in the Pacific Northwest since time immemorial and their traditional lands surround the Salish Sea, including part of the Olympic Peninsula, the coast of Puget Sound, the eastern side of Vancouver Island, and the southern coast of British Columbia.     The Coast Salish peoples of the Puget Sound region were famous for their coiled and twined baskets. Some of the baskets were so tightly made that they could hold water. In this photo taken around 1900, a Coast Salish basketmaker holds a split cedar root in her mouth, ready to work it into her basket.     Caption information source: ""Coast Salish people & languages,"" Burke Museum, retrieved from https://www.burkemuseum.org/collections-and-research/culture/contemporary-culture/coast-salish-art/coast-salish-people.",Baskets; Basket making--Washington (State)--Puget Sound Region; Coast Salish Indians--Arts & Crafts; Coast Salish Indians--Women; Women--Arts & Crafts,Washington (State)--Puget Sound Region,photograph; image,Glass negative; edges taped,MOHAI 88.33.115,American Indians of the Pacific Northwest Images,Wilse Collection,University of Washington Libraries,"Museum of History and Industry, Seattle",To order a reproduction or to inquire about permissions contact photos@mohai.org or phone us at 206-324-1126. Please refer to the Image Number and provide a brief description of the photograph.,Gift; acc. no. 88.33.115,http://rightsstatements.org/vocab/CNE/1.0/,http://content.lib.washington.edu/aipnw/copyrights.html,http://content.lib.washington.edu/aipnw/,http://content.lib.washington.edu/cgi-bin/htmlview.exe?CISOROOT=/loc&CISOPTR=0,Image/JPEG,StillImage,Special Collections,"Wilse 1,014","Puget Sound Salish basketmaker, ca. 1900","Coast Salish peoples are a diverse group of Indigenous people of the Pacific Northwest who speak related languages and have some common cultural traditions. The Coast Salish grouping includes many different tribal groups, all with their own names for themselves and most with their own languages. Coast Salish peoples have lived in the Pacific Northwest since time immemorial and their traditional lands surround the Salish Sea, including part of the Olympic Peninsula, the coast of Puget Sound, the eastern side of Vancouver Island, and the southern coast of British Columbia.     The Coast Salish peoples of the Puget Sound region were famous for their coiled and twined baskets. Some of the baskets were so tightly made that they could hold water. In this photo taken around 1900, a Coast Salish basketmaker holds a split cedar root in her mouth, ready to work it into her basket.     Caption information source: “Coast Salish people & languages,” Burke Museum, retrieved from https://www.burkemuseum.org/collections-and-research/culture/contemporary-culture/coast-salish-art/coast-salish-people.",,1/22/2003,6/16/2023,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/loc/id/0,0,88.33.115.JPG,/loc/image/88.33.115.JPG
"Makah boy rowing a canoe at Neah Bay, 1900","Wilse, Anders B.",,United States--Washington (State)--Seattle,,1895/1905,ca. 1900,"1897, 1898, 1899, 1900","The Makah people of the northwest tip of the Olympic Peninsula refer to themselves as Kwih-dich-chuh-ahtx, which translates roughly to ""the people who live by the rocks and seagulls."" The early Makah were skilled mariners, using several types of canoes which they carved from western red cedar for various purposes—war, whaling, fishing, sealing, carrying cargo, and long voyages. Today, roughly 1400 Makah live in and around their traditional lands near Neah Bay on the Makah Indian Reservation. The carving of their skilled woodworkers can range in size from tiny masks to totems and giant, oceangoing canoes. Whaling and fishing have been central to Makah culture for thousands of years. The Makah are the only tribe to be granted whaling rights by treaty with the US government, in the Treaty of Neah Bay signed in 1855. While the Makah voluntarily suspended whale hunting in the 1920s due to the near extinction of whales from commercial whaling, they exercised their treaty right to hunt whales once in 1999 before court decisions blocked further legal hunting.     In this photo, a small Makah boy holds the oars of a large cedar canoe at Neah Bay. Makah children learned how to handle canoes at a young age. The Makah used their large canoes for long-distance travel, fishing, and for hunting whales.     Caption information source: Makah Tribe website at https://makah.com  Caption on image: Copyrighted 1900",Canoes--Makah Indians; Canoes--Washington (State)--Neah Bay; Boys--Washington (State)--Neah Bay; Makah Indians--Children,Washington (State)--Neah Bay,glass negative; photograph; image,"Glass negative; edges taped, emulsion sulfiding",MOHAI 88.33.136,American Indians of the Pacific Northwest Images,Wilse Collection,University of Washington Libraries,"Museum of History and Industry, Seattle",To order a reproduction or to inquire about permissions contact photos@mohai.org or phone us at 206-324-1126. Please refer to the Image Number and provide a brief description of the photograph.,Gift; acc. no. 88.33.136,http://rightsstatements.org/vocab/CNE/1.0/,http://content.lib.washington.edu/aipnw/copyrights.html,http://content.lib.washington.edu/aipnw/,http://content.lib.washington.edu/cgi-bin/htmlview.exe?CISOROOT=/loc&CISOPTR=1,Image/JPEG,StillImage,Special Collections,Wilse 1069,"Makah Indian boy rowing a canoe at Neah Bay, ca. 1900","The Makah people refer to themselves as Kwih-dich-chuh-ahtx, which translates roughly to ""the people who live by the rocks and seagulls."" They live on the Makah Indian Reservation on the northwest tip of the Olympic Peninsula. The early Makah were skilled mariners, using different types of canoes which they carved from western red cedar for various purposes—war, whaling, fishing, sealing, carrying cargo, and long voyages. Roughly 1400 Makah live in and around Neah Bay today, and the carving of their skilled woodworkers can range in size from tiny masks to giant ocean going canoes and totems. Whaling and fishing have been central to Makah culture for thousands of years. The Makah are the only tribe to be granted whaling rights by treaty with the US government, in the Treaty of Neah Bay signed in 1855. While the Makah voluntarily suspended whale hunting in the 1920s due to the near extinction of whales from commercial whaling, they exercised their treaty right to hunt whales once in 1999 before court decisions blocked further legal hunting.     In this photo, a small Makah boy holds the oars of a large cedar canoe at Neah Bay. Makah children learned how to handle canoes at a young age.     Written on image: Copyrighted 1900    Caption information source: Makah Tribe website at https://makah.com ",,1/22/2003,6/16/2023,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/loc/id/1,1,88.33.136.JPG,/loc/image/88.33.136.JPG
"Two Makah basketmakers at Neah Bay, 1900","Wilse, Anders B.",,United States--Washington (State)--Seattle,,1900,1900,"1897, 1898, 1899, 1900","The Makah people of the northwest tip of the Olympic Peninsula refer to themselves as Kwih-dich-chuh-ahtx, which translates roughly to ""the people who live by the rocks and seagulls."" The early Makah were skilled mariners, using several types of canoes which they carved from western red cedar for various purposes—war, whaling, fishing, sealing, carrying cargo, and long voyages. Today, roughly 1400 Makah live in and around their traditional lands near Neah Bay on the Makah Indian Reservation. The carving of their skilled woodworkers can range in size from tiny masks to totems and giant, oceangoing canoes. Whaling and fishing have been central to Makah culture for thousands of years. The Makah are the only tribe to be granted whaling rights by treaty with the US government, in the Treaty of Neah Bay signed in 1855. While the Makah voluntarily suspended whale hunting in the 1920s due to the near extinction of whales from commercial whaling, they exercised their treaty right to hunt whales once in 1999 before court decisions blocked further legal hunting.     These women are weaving the delicate wrapped twined baskets for which the Makah are well known. The baskets are made from cedar bark warps and grass wefts, some of which are dyed various colors. Most of the small ""trinket baskets"" as they were called had lids and were decorated with geometric and animal or bird designs.     Caption information source: Makah Tribe website at https://makah.com",Aged persons--Washington (State)--Neah Bay; Baskets.; Basket making--Washington (State)--Neah Bay; Makah Indians--Women--Arts & crafts; Makah Indians--Women--Clothing & dress; Makah Indians--Structures; Women--Washington (State)--Neah Bay,Washington (State)--Neah Bay,glass negative; photograph; image,"Glass negative; edges taped, emulsion sulfiding, yellow discoloration",MOHAI 88.33.52,American Indians of the Pacific Northwest Images,Wilse Collection,University of Washington Libraries,"Museum of History and Industry, Seattle",To order a reproduction or to inquire about permissions contact photos@mohai.org or phone us at 206-324-1126. Please refer to the Image Number and provide a brief description of the photograph.,Gift; acc. no. 88.33.52,http://rightsstatements.org/vocab/CNE/1.0/,http://content.lib.washington.edu/aipnw/copyrights.html,http://content.lib.washington.edu/aipnw/,http://content.lib.washington.edu/cgi-bin/htmlview.exe?CISOROOT=/loc&CISOPTR=2,Image/JPEG,StillImage,Special Collections,Wilse 1079,"Two Makah basketmakers at Neah Bay, 1900","The Makah people refer to themselves as Kwih-dich-chuh-ahtx, which translates roughly to ""the people who live by the rocks and seagulls."" They live on the Makah Indian Reservation on the northwest tip of the Olympic Peninsula. The early Makah were skilled mariners, using different types of canoes which they carved from western red cedar for various purposes—war, whaling, fishing, sealing, carrying cargo, and long voyages. Roughly 1400 Makah live in and around Neah Bay today, and the carving of their skilled woodworkers can range in size from tiny masks to giant ocean going canoes and totems. Whaling and fishing have been central to Makah culture for thousands of years. The Makah are the only tribe to be granted whaling rights by treaty with the US government, in the Treaty of Neah Bay signed in 1855. While the Makah voluntarily suspended whale hunting in the 1920s due to the near extinction of whales from commercial whaling, they exercised their treaty right to hunt whales once in 1999 before court decisions blocked further legal hunting. ,    These women are weaving the delicate wrapped twined baskets for which the Makah are well known. The baskets are made from cedar bark warps and grass wefts, some of which are dyed various colors.  Most of the small ""trinket baskets,"" as they were called, had lids and were decorated with geometric and animal or bird designs.     Caption information source: Makah Tribe website at https://makah.com",,1/22/2003,6/16/2023,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/loc/id/2,2,88.33.52.JPG,/loc/image/88.33.52.JPG
"Makah sailing canoe, 1900","Wilse, Anders B.",,United States--Washington (State)--Seattle,,1900,1900,"1897, 1898, 1899, 1900","The Makah people of the northwest tip of the Olympic Peninsula refer to themselves as Kwih-dich-chuh-ahtx, which translates roughly to ""the people who live by the rocks and seagulls."" The early Makah were skilled mariners, using several types of canoes which they carved from western red cedar for various purposes—war, whaling, fishing, sealing, carrying cargo, and long voyages. Today, roughly 1400 Makah live in and around their traditional lands near Neah Bay on the Makah Indian Reservation. The carving of their skilled woodworkers can range in size from tiny masks to totems and giant, oceangoing canoes. Whaling and fishing have been central to Makah culture for thousands of years. The Makah are the only tribe to be granted whaling rights by treaty with the US government, in the Treaty of Neah Bay signed in 1855. While the Makah voluntarily suspended whale hunting in the 1920s due to the near extinction of whales from commercial whaling, they exercised their treaty right to hunt whales once in 1999 before court decisions blocked further legal hunting.     The Makah people built large ocean-going canoes which they used for whale hunting and for voyages around Puget Sound. By 1900, when this photo was taken, Makah canoes shared the waters with many large steamships and sailing craft. This photo shows a Makah sailing canoe in the foreground and a large three-masted sailing ship behind.      Caption information source: Makah Tribe website at https://makah.com  Caption on image: Copyrighted 1900",Canoes--Makah Indians; Canoes--Washington (State)--Puget Sound Region; Makah Indians--Transportation,Washington (State)--Puget Sound Region,glass negative; photograph; image,"Glass negative; good, edges taped",MOHAI 88.33.25,American Indians of the Pacific Northwest Images,Wilse Collection,University of Washington Libraries,"Museum of History and Industry, Seattle",To order a reproduction or to inquire about permissions contact photos@mohai.org or phone us at 206-324-1126. Please refer to the Image Number and provide a brief description of the photograph.,Gift; acc. no. 88.33.25,http://rightsstatements.org/vocab/CNE/1.0/,http://content.lib.washington.edu/aipnw/copyrights.html,http://content.lib.washington.edu/aipnw/,http://content.lib.washington.edu/cgi-bin/htmlview.exe?CISOROOT=/loc&CISOPTR=3,Image/JPEG,StillImage,Special Collections,Wilse 1077,"Makah sailing canoe, 1900","The Makah people refer to themselves as Kwih-dich-chuh-ahtx, which translates roughly to ""the people who live by the rocks and seagulls."" They live on the Makah Indian Reservation on the northwest tip of the Olympic Peninsula. The early Makah were skilled mariners, using different types of canoes which they carved from western red cedar for various purposes—war, whaling, fishing, sealing, carrying cargo, and long voyages. Roughly 1400 Makah live in and around Neah Bay today, and the carving of their skilled woodworkers can range in size from tiny masks to giant ocean going canoes and totems. Whaling and fishing have been central to Makah culture for thousands of years. The Makah are the only tribe to be granted whaling rights by treaty with the US government, in the Treaty of Neah Bay signed in 1855. While the Makah voluntarily suspended whale hunting in the 1920s due to the near extinction of whales from commercial whaling, they exercised their treaty right to hunt whales once in 1999 before court decisions blocked further legal hunting.     By 1900, when this photo was taken, Makah canoes shared the waters with many large steamships and sailing craft.  This photo shows  a Makah sailing canoe in the foreground and a large three-masted sailing ship behind.    Written on image: Copyrighted 1900  Caption information source: Makah Tribe website at https://makah.com ",,1/22/2003,6/16/2023,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/loc/id/3,3,88.33.25.JPG,/loc/image/88.33.25.JPG
"Makah group pulling a canoe on shore at Neah Bay, circa 1900","Wilse, Anders B.",,United States--Washington (State)--Seattle,,1895/1905,ca. 1900,"1897, 1898, 1899, 1900","The Makah people of the northwest tip of the Olympic Peninsula refer to themselves as Kwih-dich-chuh-ahtx, which translates roughly to ""the people who live by the rocks and seagulls."" The early Makah were skilled mariners, using several types of canoes which they carved from western red cedar for various purposes—war, whaling, fishing, sealing, carrying cargo, and long voyages. Today, roughly 1400 Makah live in and around their traditional lands near Neah Bay on the Makah Indian Reservation. The carving of their skilled woodworkers can range in size from tiny masks to totems and giant, oceangoing canoes. Whaling and fishing have been central to Makah culture for thousands of years. The Makah are the only tribe to be granted whaling rights by treaty with the US government, in the Treaty of Neah Bay signed in 1855. While the Makah voluntarily suspended whale hunting in the 1920s due to the near extinction of whales from commercial whaling, they exercised their treaty right to hunt whales once in 1999 before court decisions blocked further legal hunting.     The Makah used their large canoes for long-distance travel, fishing, and for hunting whales. In this photo, taken at Neah Bay, Makah men, women, and children pull their canoe up on the beach on rollers. This canoe also has a cloth sail which is furled in the bow of the canoe. Before European contact, the Makah used cedar bark sails on their canoes.     Caption information source: Makah Tribe website at https://makah.com",Makah Indians--Transportation; Makah Indians--Subsistence activities; Canoes--Makah Indians; Canoes--Washington (State)--Neah Bay,Washington (State)--Neah Bay,glass negative; photograph; image,"Glass negative; edges taped, emulsion sulfiding, red opaque spots",MOHAI 88.33.113,American Indians of the Pacific Northwest Images,Wilse Collection,University of Washington Libraries,"Museum of History and Industry, Seattle",To order a reproduction or to inquire about permissions contact photos@mohai.org or phone us at 206-324-1126. Please refer to the Image Number and provide a brief description of the photograph.,Gift; acc. no. 88.33.113,http://rightsstatements.org/vocab/CNE/1.0/,http://content.lib.washington.edu/aipnw/copyrights.html,http://content.lib.washington.edu/aipnw/,http://content.lib.washington.edu/cgi-bin/htmlview.exe?CISOROOT=/loc&CISOPTR=4,Image/JPEG,StillImage,Special Collections,Wilse 1080,"Makah group pulling a canoe on shore at Neah Bay, ca. 1900","The Makah people refer to themselves as Kwih-dich-chuh-ahtx, which translates roughly to ""the people who live by the rocks and seagulls."" They live on the Makah Indian Reservation on the northwest tip of the Olympic Peninsula. The early Makah were skilled mariners, using different types of canoes which they carved from western red cedar for various purposes—war, whaling, fishing, sealing, carrying cargo, and long voyages. Roughly 1400 Makah live in and around Neah Bay today, and the carving of their skilled woodworkers can range in size from tiny masks to giant ocean going canoes and totems. Whaling and fishing have been central to Makah culture for thousands of years. The Makah are the only tribe to be granted whaling rights by treaty with the US government, in the Treaty of Neah Bay signed in 1855. While the Makah voluntarily suspended whale hunting in the 1920s due to the near extinction of whales from commercial whaling, they exercised their treaty right to hunt whales once in 1999 before court decisions blocked further legal hunting.     By 1900, when this photo was taken, Makah canoes shared the waters with many large steamships and sailing craft.  This photo shows  a Makah sailing canoe in the foreground and a large three-masted sailing ship behind.    Written on image: Copyrighted 1900  Caption information source: Makah Tribe website at https://makah.com ",,1/22/2003,6/16/2023,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/loc/id/4,4,88.33.113.JPG,/loc/image/88.33.113.JPG
"Whaling canoe at Neah Bay, 1900","Wilse, Anders B.",,United States--Washington (State)--Seattle,,1900,1900,1900,"The Makah people of the northwest tip of the Olympic Peninsula refer to themselves as Kwih-dich-chuh-ahtx, which translates roughly to ""the people who live by the rocks and seagulls."" The early Makah were skilled mariners, using several types of canoes which they carved from western red cedar for various purposes—war, whaling, fishing, sealing, carrying cargo, and long voyages. Today, roughly 1400 Makah live in and around their traditional lands near Neah Bay on the Makah Indian Reservation. The carving of their skilled woodworkers can range in size from tiny masks to totems and giant, oceangoing canoes. Whaling and fishing have been central to Makah culture for thousands of years. The Makah are the only tribe to be granted whaling rights by treaty with the US government, in the Treaty of Neah Bay signed in 1855. While the Makah voluntarily suspended whale hunting in the 1920s due to the near extinction of whales from commercial whaling, they exercised their treaty right to hunt whales once in 1999 before court decisions blocked further legal hunting.     The Makah people of Washington's Olympic Peninsula hunted whales and other sea mammals from large seagoing canoes. The hunters harpooned the animals and kept them from sinking by attaching floats made from sealskin filled with air. This photo taken in 1900 shows a row of Makah canoes, probably at Neah Bay. The canoe in the foreground is filled with sealskin floats.     Caption information source: Makah Tribe website at https://makah.com  Captions on image: The whaling canoe ; Copyrighted 1900.",Canoes--Makah Indians; Canoes--Washington (State)--Neah Bay; Makah Indians--Subsistence activities; Waterfronts--Washington (State)--Neah Bay; Whaling,Washington (State)--Neah Bay,glass negative; photograph; image,Glass negative; emulsion sulfiding,MOHAI 88.33.23,American Indians of the Pacific Northwest Images,Wilse Collection,University of Washington Libraries,"Museum of History and Industry, Seattle",To order a reproduction or to inquire about permissions contact photos@mohai.org or phone us at 206-324-1126. Please refer to the Image Number and provide a brief description of the photograph.,Gift; acc. no. 88.33.23,http://rightsstatements.org/vocab/CNE/1.0/,http://content.lib.washington.edu/aipnw/copyrights.html,http://content.lib.washington.edu/aipnw/,http://content.lib.washington.edu/cgi-bin/htmlview.exe?CISOROOT=/loc&CISOPTR=5,Image/JPEG,StillImage,Special Collections,Wilse 1085,"Whaling canoe at Neah Bay, 1900","The Makah people refer to themselves as Kwih-dich-chuh-ahtx, which translates roughly to ""the people who live by the rocks and seagulls."" They live on the Makah Indian Reservation on the northwest tip of the Olympic Peninsula. The early Makah were skilled mariners, using different types of canoes which they carved from western red cedar for various purposes—war, whaling, fishing, sealing, carrying cargo, and long voyages. Roughly 1400 Makah live in and around Neah Bay today, and the carving of their skilled woodworkers can range in size from tiny masks to giant ocean going canoes and totems. Whaling and fishing have been central to Makah culture for thousands of years. The Makah are the only tribe to be granted whaling rights by treaty with the US government, in the Treaty of Neah Bay signed in 1855. While the Makah voluntarily suspended whale hunting in the 1920s due to the near extinction of whales from commercial whaling, they exercised their treaty right to hunt whales once in 1999 before court decisions blocked further legal hunting.     By 1900, when this photo was taken, Makah canoes shared the waters with many large steamships and sailing craft.  This photo shows  a Makah sailing canoe in the foreground and a large three-masted sailing ship behind.    Written on image: Copyrighted 1900  Caption information source: Makah Tribe website at https://makah.com ",,1/22/2003,6/16/2023,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/loc/id/5,5,88.33.23.JPG,/loc/image/88.33.23.JPG
"Woman with hop basket, circa 1900","Wilse, Anders B.",,United States--Washington (State)--Seattle,,1900~,1900~,"1897, 1898, 1899, 1900","From the late 1860s to the early 1890s, hop farming was an important activity in the valleys of the Puget Sound region, including Puyallup, White River, and Snoqualmie. Indigenous workers came from through the Pacific Northwest, Canada, and Alaska (but especially from regional tribes like the Puyallup, Snoqualmie, Muckleshoot, Duwamish, Sammamish, Lummi, and Nisqually) as a seasonal labor force to harvest these crops in last summer and early autumn.    These Indigenous workers gathered the cone-like fruit into handmade baskets, as shown in the photograph. Indigenous people used split cedar or spruce root to make this type of open-weave storage basket, traditionally used to store dried foods and household goods in the longhouses.    Caption information source: ""Indigenous Hop Pickers in Western Washington"" by Hans Zeiger, HistoryLink.org Essay 21295.",Baskets; Harvesting--Washington (State)--Puget Sound Region; Hops--Washington (State)--Puget Sound Region; Indians of North America--Washington (State)--Puget Sound Region; Indians of North America--Washington (State)--Employment; Indians of North America--Washington (State)--Clothing & dress,Washington (State)--Puget Sound Region,photograph; image,"Glass negative; edges taped, emulsion sulfiding",MOHAI 88.33.139,American Indians of the Pacific Northwest Images,Wilse Collection,University of Washington Libraries,"Museum of History and Industry, Seattle",To order a reproduction or to inquire about permissions contact photos@mohai.org or phone us at 206-324-1126. Please refer to the Image Number and provide a brief description of the photograph.,Gift; acc. no. 88.33.139,http://rightsstatements.org/vocab/CNE/1.0/,http://content.lib.washington.edu/aipnw/copyrights.html,http://content.lib.washington.edu/aipnw/,http://content.lib.washington.edu/cgi-bin/htmlview.exe?CISOROOT=/loc&CISOPTR=6,Image/JPEG,StillImage,Special Collections,Wilse 1030,"Woman with hop basket, ca. 1900","From the late 1860s to the early 1890s, hop farming was an important activity in the valleys of the Puget Sound region, including Puyallup, White River, and Snoqualmie. Indigenous workers came from throughout the Pacific Northwest, Canada, and Alaska (but especially from regional tribes like the Puyallup, Snoqualmie, Muckleshoot, Duwamish, Sammamish, Lummi, and Nisqually) as a seasonal labor force to harvest these crops in late summer and early autumn. These Indigenous workers gathered the cone-like fruit into handmade baskets, as shown in this photograph. Indigenous people used split cedar or spruce root to make this type of open-weave storage basket, traditionally used to store dried foods and household goods in the longhouses.    Caption information source: “Indigenous Hop Pickers in Western Washington” by Hans Zeiger, HistoryLink.org Essay 21295.",,1/22/2003,6/16/2023,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/loc/id/6,6,88.33.139.JPG,/loc/image/88.33.139.JPG
"Nellie Stimson’s basket collection, Seattle, circa 1900","Wilse, Anders B.",,United States--Washington (State)--Seattle,,1895/1905,ca. 1900,"1897, 1898, 1899, 1900","At the turn of 19th to 20th centuries, Indigenous artists in the Pacific Northwest were making baskets and carvings specifically for the tourist trade and were experimenting with form and design. In Nellie (Mrs. Fred) Stimson’s Seattle home, baskets from the Pacific Northwest as well as from the Great Basin and Southwest were displayed in abundance.    Caption information source: ""Northwest Coast Basketry,"" by Silvia Koros for the Burke Museum, retrieved from https://www.burkemuseum.org/static/baskets/Teachersguideforbasketry.htm.",Stimson family--Homes & haunts; Baskets; Indians of North America--Arts & crafts; Interiors--Washington (State)--Seattle; Light fixtures.; Mantels--Washington (State)--Seattle,Washington (State)--Seattle,glass negative; photograph; image,Glass negative; emulsion sulfiding,MOHAI 88.33.60,American Indians of the Pacific Northwest Images,Wilse Collection,University of Washington Libraries,"Museum of History and Industry, Seattle",To order a reproduction or to inquire about permissions contact photos@mohai.org or phone us at 206-324-1126. Please refer to the Image Number and provide a brief description of the photograph.,Gift; acc. no. 88.33.60,http://rightsstatements.org/vocab/CNE/1.0/,http://content.lib.washington.edu/aipnw/copyrights.html,http://content.lib.washington.edu/aipnw/,http://content.lib.washington.edu/cgi-bin/htmlview.exe?CISOROOT=/loc&CISOPTR=7,Image/JPEG,StillImage,Special Collections,Wilse 1060,"Collection of indigenous baskets, Seattle, ca. 1900","At the turn of 19th to 20th centuries, Indigenous artists in the Pacific Northwest were making baskets and carvings specifically for the tourist trade and were experimenting with form and design. In Nellie (Mrs. Fred) Stimson’s Seattle home, shown here, baskets from the Pacific Northwest as well as from the Great Basin and Southwest were displayed in abundance.    Caption information source: ""Northwest Coast Basketry,” by Silvia Koros for the Burke Museum, retrieved from https://www.burkemuseum.org/static/baskets/Teachersguideforbasketry.htm.",,1/22/2003,6/16/2023,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/loc/id/7,7,88.33.60.JPG,/loc/image/88.33.60.JPG
"Portrait of Yaht-le-min's wife, circa 1900","Wilse, Anders B.",,United States--Washington (State)--Seattle,,1900~,1900~,"1897, 1898, 1899, 1900","This is a portrait of the wife of Yaht-le-min (called General Taylor by the settlers), a sub-chief of the S'Klallam. Her name is not known. She had her portrait taken with a traditional clam basket in front of a handmade cattail mat. She wears a crucifix pendant, a symbol of the Christian faith introduced by missionaries in the mid-1800s.     Caption information source: ""Land and People and Lifestyle,"" by Jerry Gorsline for the Port Gamble S'Klallam Tribe, retrieved from https://www.pgst.nsn.us/tribal-enterprises/noo-kayet-development/35-top-level/land-and-people-and-lifestyle","General Taylor, Mrs.; Coast Salish Indians--Washington (State)--Puget Sound Region; Aged persons; Coast Salish Indians--Clothing & dress; Coast Salish Indians--Women; Jewelry; Women--Washington (State)",United States--Washington (State)--Puget Sound Region,photograph; image,Glass negative,MOHAI 88.33.289,American Indians of the Pacific Northwest Images,Wilse Collection,University of Washington Libraries,"Museum of History and Industry, Seattle",To order a reproduction or to inquire about permissions contact photos@mohai.org or phone us at 206-324-1126. Please refer to the Image Number and provide a brief description of the photograph.,Gift; acc. no. 88.33.289,http://rightsstatements.org/vocab/CNE/1.0/,http://content.lib.washington.edu/aipnw/copyrights.html,http://content.lib.washington.edu/aipnw/,http://content.lib.washington.edu/cgi-bin/htmlview.exe?CISOROOT=/loc&CISOPTR=8,Image/JPEG,StillImage,Special Collections,Wilse 1036,"Portrait of Yaht-le-min's wife, circa 1900","This is a portrait of the wife of Yaht-le-min (called General Taylor by the settlers), a sub-chief of the S'Klallam. Her name is not known. She had her portrait taken with a traditional clam basket in front of a handmade cattail mat.  She wears a crucifix pendant, a symbol of the Christian faith introduced by missionaries in the mid-1800s.     Caption information source: ""Land and People and Lifestyle,"" by Jerry Gorsline for the Port Gamble S'Klallam Tribe, retrieved from https://www.pgst.nsn.us/tribal-enterprises/noo-kayet-development/35-top-level/land-and-people-and-lifestyle",,1/22/2003,6/16/2023,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/loc/id/8,8,88.33.289.JPG,/loc/image/88.33.289.JPG
"Portrait of Yaht-le-min, circa 1900","Wilse, Anders B.",,United States--Washington (State)--Seattle,,1895/1905,ca. 1900,"1897, 1898, 1899, 1900","This is a portrait of Yaht-le-min, a sub-chief of the S'Klallam. He was called ""General Taylor"" by the settlers and was identified as such by the photographer.     Caption information source: ""Land and People and Lifestyle,"" by Jerry Gorsline for the Port Gamble S'Klallam Tribe, retrieved from https://www.pgst.nsn.us/tribal-enterprises/noo-kayet-development/35-top-level/land-and-people-and-lifestyle",General Taylor; Aged persons; Coast Salish Indians--Clothing & dress; Coast Salish Indians--Washington (State)--Puget Sound Region,United States--Washington (State)--Puget Sound Region,glass negative; photograph; image,"Glass negative; emulsion sulfiding, yellow discoloration.",MOHAI 88.33.288,American Indians of the Pacific Northwest Images,Wilse Collection,University of Washington Libraries,"Museum of History and Industry, Seattle",To order a reproduction or to inquire about permissions contact photos@mohai.org or phone us at 206-324-1126. Please refer to the Image Number and provide a brief description of the photograph.,Gift; acc. no. 88.33.288,http://rightsstatements.org/vocab/CNE/1.0/,http://content.lib.washington.edu/aipnw/copyrights.html,http://content.lib.washington.edu/aipnw/,http://content.lib.washington.edu/cgi-bin/htmlview.exe?CISOROOT=/loc&CISOPTR=9,Image/JPEG,StillImage,Special Collections,Wilse 1034,"Portrait of Yaht-le-min, circa 1900","This is a portrait of Yaht-le-min, a sub-chief of the S'Klallam. He was called ""General Taylor"" by the settlers and was identified as such by the photographer.     Caption information source: ""Land and People and Lifestyle,"" by Jerry Gorsline for the Port Gamble S'Klallam Tribe, retrieved from https://www.pgst.nsn.us/tribal-enterprises/noo-kayet-development/35-top-level/land-and-people-and-lifestyle",,1/22/2003,6/16/2023,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/loc/id/9,9,88.33.288.JPG,/loc/image/88.33.288.JPG
