Title	Author	Publisher	Place of Publication	Date-EDTF	Date of Publication	Dates	Notes	Subjects	Geographical Subjects	Object Type	Original Source	Contributor	Repository	Acquisition	Rights URI	Restrictions	Relation	Transmission Data	Institution	Cataloging	Type-DCMI	Digital Collection	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
No. 86 -- Report of Governor Isaac I. Stevens, superintendent ex officio	Stevens, Isaac Ingalls,  1818-1862	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.	1854	1854	1854	Report from Gov. Isaac I. Stevens to George W. Manypenny, Commissioner of Indian Affairs&lt;BR&gt;Washington City, D.C., September 16, 1854&lt;BR&gt;Includes chart listing names, locations and population of Indian tribes of Washington Territory west of the Cascade Mountains&lt;BR&gt;Alternative tribal name forms: Blackfeet, Red River Hunters, Bloods, Piegans, Gros Ventres, Flatheads, Pend d'Oreille Indians, Coeur d'Alene Indians, Pelouse, Palouse, Pisquouse, Okinakane, Chihalis	Salish Indians; Kalispel Indians; Siksika Indians; Skitswish Indians; Kainah Indians; Chehalis Indians; Cowlitz Indians; Salishan Indians; Makah Indians; Nez Perce Indians; Cayuse Indians; Piegan Indians; Walla Walla Indians; Paloos Indians; Spokane Indians; Spokane Garry,  1811?-1892; Atsina Indians; Assiniboine Indians; Indians of North America--Manners and customs; Indians of North America--Mixed descent; Stevens, Isaac Ingalls,  1818-1862; Yakama Indians; Wenatchi Indians; Okanagan Indians; Chinook Indians; Klikitat Indians; Clallam Indians; Coast Salish Indians; Quinault Indians	United States--Washington (State)&lt;BR&gt;United States--Washington (State)--Puget Sound Region&lt;BR&gt;United States--Northwest, Pacific&lt;BR&gt;United States--Montana&lt;BR&gt;United States--Idaho&lt;BR&gt;United States--Oregon	text; report	Annual Report of the Commissioner of Indian Affairs [Bound with Message from the President of the United States to the two houses of Congress, at the commencement of the second session of the Thirty-Third Congress and the Report of the Secretary of the Interior to the President], 1854, p. 392-462	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.	http://rightsstatements.org/vocab/NoC-US/1.0/	http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections		Text	American Indians of the Pacific Northwest -- Textual Portion		5/3/2019	5/3/2019	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/23	23	23.cpd	/lctext/image/23.cpd
No. 74 -- Letter of Governor Stevens relative to the peaceable condition of certain tribes	Stevens, Isaac Ingalls,  1818-1862	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.	1856	1856	1856	Letter to George W. Manypenny&lt;BR&gt;Council Ground, Fort Mason, Walla-Walla Valley, Washington Territory, August 31, 1856&lt;BR&gt;Alternative tribal name forms: Flathead Indians, Coeur d'Alene Indians	Indians of North America--Wars; Spokane Indians; Skitswish Indians; Colville Indians; Salish Indians; Nez Perce Indians; Stevens, Isaac Ingalls,  1818-1862	United States--Washington (State)	text; report	Report of the Commissioner of Indian Affairs, 1856, p. 192-193	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.	http://rightsstatements.org/vocab/NoC-US/1.0/	http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections		Text	American Indians of the Pacific Northwest -- Textual Portion		5/3/2019	5/3/2019	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/37	37	37.cpd	/lctext/image/37.cpd
No. 154 -- Report of R. H. Lansdale, agent for the Flat Head district	Lansdale, R. H.	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.	1857	1857	1857	Report to J. W. Nesmith&lt;BR&gt;Salem, Oregon, September 22, 1857&lt;BR&gt;Alternative tribal name forms: Flathead Indians, Blackfeet	Kalispel Indians; Kutenai Indians; Indians of North America--Census; Indians of North America--Agriculture; Siksika Indians; Salish Indians--Treaties; Missionaries; Indians of North America--Wars; Indians of North America--Government relations; Nez Perce Indians--Treaties; Indians of North America--Treaties; Indians of North America--Government relations; Mormons; Skitswish Indians; Nez Perce Indians	United States--Montana--Bitterroot River Valley&lt;BR&gt;United States--Idaho&lt;BR&gt;United States--Northwest, Pacific	text; report	Report of the Commissioner of Indian Affairs, 1857, p. 375-381	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.	http://rightsstatements.org/vocab/NoC-US/1.0/	http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections		Text	American Indians of the Pacific Northwest -- Textual Portion		5/3/2019	5/3/2019	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/81	81	81.cpd	/lctext/image/81.cpd
No. 95 -- Copy of letter of John Owen, special agent	Owen, John	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.	1858	1858	1858	Copy of letter to J. W. Nesmith&lt;BR&gt;Stenger's House, Colville Valley, July 11, 1858&lt;BR&gt;Alternative tribal name forms: Coeur d'Alene Indians	Indians of North America--Wars; Steptoe, Edward Jenner,  1816-1865; Skitswish Indians; Spokane Indians; Indians of North America--Foreign influences; Miners; Coeur d'Alene War, 1858; Yakama Indians--Wars, 1855-1859	United States--Washington (State)	text; letter	Report of the Commissioner of Indian Affairs, 1858, p. 266-269	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.	http://rightsstatements.org/vocab/NoC-US/1.0/	http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections		Text	American Indians of the Pacific Northwest -- Textual Portion		5/3/2019	5/3/2019	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/105	105	105.cpd	/lctext/image/105.cpd
No. 96 -- Copy of letter of John Owen, special agent	Owen, John	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.	1858	1858	1858	Copy of letter to J. W. Nesmith&lt;BR&gt;Camp on Spokane River, July 16, 1858&lt;BR&gt;Alternative tribal name forms: Coeur d'Alene Indians, Flathead Indians	Indians of North America--Wars; Spokane Indians; Skitswish Indians; Paloos Indians; Steptoe, Edward Jenner,  1816-1865; Miners; Hudson's Bay Company; Indians of North America--Foreign influences; Spokane Garry,  1811?-1892; Indian agents; Coeur d'Alene War, 1858; Yakama Indians--Wars, 1855-1859	United States--Washington (State)	text; letter	Report of the Commissioner of Indian Affairs, 1858, p. 269-271	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.	http://rightsstatements.org/vocab/NoC-US/1.0/	http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections		Text	American Indians of the Pacific Northwest -- Textual Portion		5/3/2019	5/3/2019	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/106	106	106.cpd	/lctext/image/106.cpd
No. 97 -- Copy of Superintendent Nesmith's instructions to Mr. Owen	Nesmith, J. W.	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.	1858	1858	1858	Copy of  instructions to John Owen&lt;BR&gt;Office Superintendent Indian Affairs, Salem, Oregon, August 2, 1858	Indians of North America--Wars; Spokane Indians; Skitswish Indians; Paloos Indians; Indian agents; Indians of North America--Foreign influences; Hudson's Bay Company; Missionaries; Coeur d'Alene War, 1858; Yakama Indians--Wars, 1855-1859	United States--Washington (State)	text; report	Report of the Commissioner of Indian Affairs, 1858, p. 271-272	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.	http://rightsstatements.org/vocab/NoC-US/1.0/	http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections		Text	American Indians of the Pacific Northwest -- Textual Portion		5/3/2019	5/3/2019	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/107	107	107.cpd	/lctext/image/107.cpd
Report of Colville Agency	Anderson, Albert M.	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.		1903		Colville Indian Agency, Miles, Washington, September 4, 1903&lt;BR&gt;Report to Commissioner of Indian Affairs	Indians of North America--Economic conditions; Spokane Indians; Skitswish Indians; Trespass; Kalispel Indians; Indians of North America--Relocation; Indians of North America--Education; Schools; Boarding schools; Indians of North America--Land tenure	United States--Washington (State)--Colville Indian Reservation&lt;BR&gt;United States--Washington (State)--Spokane Indian Reservation&lt;BR&gt;United States--Idaho--Coeur d'Alene Indian Reservation	text; report	Annual Reports of the Department of the Interior for the Fiscal Year Ended June 30, 1903. Indian Affairs. Part I. Report of the Commissioner, and Appendixes, p. 331-332	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.		http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections			American Indians of the Pacific Northwest -- Textual Portion		11/18/2015	11/18/2015	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/1323	1323	1323.cpd	/lctext/image/1323.cpd
Indian Legislation Passed During the First and Second Sessions of the Fifty-Eighth Congress -- Miscellaneous	author not named	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.		1904		Alternative tribal name forms: Coeur d'Alene Indians	Indian reservations--Law and legislation; Indian reservations--Surveys; Indians of North America--Land tenure; Skitswish Indians	United States--Idaho--Coeur d'Alene Indian Reservation	text; report	Annual Reports of the Department of the Interior for the Fiscal Year Ended June 30, 1904. Indian Affairs. Part I. Report of the Commissioner, and Appendixes, p. 480	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.		http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections			American Indians of the Pacific Northwest -- Textual Portion		5/3/2019	5/3/2019	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/1354	1354	1354.cpd	/lctext/image/1354.cpd
Report of Colville Agency	Webster, Jno. McA.	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.		1905		Colville Indian Agency, Miles, Washington, August 29, 1905&lt;BR&gt;Report to Commissioner of Indian Affairs&lt;BR&gt;Includes report of school superintendent	Indian allotments; Skitswish Indians; Nespelim Indians; Sanpoil Indians; Nez Perce Indians; Joseph,  Nez Perce Chief,  1840-1904--Death and burial; Indians of North America--Kings and rulers; Indians of North America--Education; Spokane Indians; Colville Indians; Indian reservations--Geography and maps; Liquor laws; Mines and mineral resources; Trespass; Tuberculosis; Indians of North America--Health and hygiene; Indians of North America--Diseases; Indians of North America--Social conditions; Indian allotments; Leased territories; Schools; Boarding schools; Indians of North America--Census; Indians of North America--Population; Indians of North America--Land tenure	United States--Washington (State)--Colville Indian Reservation&lt;BR&gt;United States--Washington (State)--Spokane Indian Reservation&lt;BR&gt;United States--Idaho--Coeur d'Alene Indian Reservation	text; report	Annual Reports of the Department of the Interior for the Fiscal Year Ended June 30, 1905. Indian Affairs. Part I. p. 355-358	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.		http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections			American Indians of the Pacific Northwest -- Textual Portion		2/8/2014	2/8/2014	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/1374	1374	1374.cpd	/lctext/image/1374.cpd
Report of Coeur D'Alene Agency	Worley, Charles O.	United States.  Office of the Commissioner of Indian Affairs	United States--Washington, D.C.		1906		Desmet, Idaho, July 27, 1906&lt;BR&gt;Report to Commissioner of Indian Affairs&lt;BR&gt;Alternative tribal name forms: Coeur d'Alene Indians	Skitswish Indians; Indians of North America--Population; Indians of North America--Census; Catholic Church--Missions; Catholic schools; Schools; Indians of North America--Cultural assimilation; Indians of North America--Education; Indians of North America--Agriculture; Agricultural implements; Roads; Indians of North America--Alcohol use; Criminal justice, Administration of; Indians of North America--Land tenure	United States--Idaho--Coeur d'Alene Indian Reservation	text; report	Annual Reports of the Department of the Interior. 1906. Indian Affairs:  p. 213-214	University of Washington Libraries	University of Washington Libraries	Scanned from bound volumes using a Minolta PS-3000 scanner at 400 dpi at a bit depth of one bit per pixel.&lt;BR&gt;Cropped, sharpened, resized and color-channel balanced in Adobe Photoshop 5.0 and saved in .gif format.		http://content.lib.washington.edu/aipnw/copyrights.html	http://content.lib.washington.edu/aipnw	text/xml (Content 2.3)	Special Collections			American Indians of the Pacific Northwest -- Textual Portion		11/18/2015	11/18/2015	http://cdm16786.contentdm.oclc.org/cdm/ref/collection/lctext/id/1400	1400	1400.cpd	/lctext/image/1400.cpd
