CDM updated (Initial/Date),FA updated (Initial/Date),Title (Current),Title (Suggested changes),Photographer,Date-EDTF,Date,Dates,Notes (Current),Notes (Suggested changes),Subjects-LCTGM (Current),Subjects-LCTGM (Suggested changes),Subjects-LCSH (Current),Subjects-LCSH (Suggested changes in red),deprecated_values,Location Depicted (Current),Location Depicted (Suggested),Digital Collection,Order Number,Ordering Information,Citation Information,Negative Number,Repository,Repository Collection,Repository Collection Guide,Object Type,Physical Description,Digital Reproduction Information,Studio Loc.,Original Creator,Studio Name,Photographer's Reference Number,Contributor,Acquisition,Rights URI,Restrictions,Type-DCMI,Institution,Reference URL,CONTENTdm number,CONTENTdm file name,location name in md?
BMR 2023-11-02,SF 10/26/23,"Eskimos in umiaks alongside the GEO. W. ELDER, Plover Bay, Siberia, July 1899.","Siberian Yupik people in umiaks alongside the GEO. W. ELDER, Plover Bay, Siberia, July 1899","Devereux, W.B.",1899-07,"July, 1899",1899,"From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 157, left.  Umiaks were boats made of walrus skins stretched over wooden frames.  Caption on image: Eskimos in Umiaks, Plover Bay, Siberia  Photograph taken by W.B. Devereux, mining engineer, member of the 1899 Harriman Expedition.","From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 157, left. Umiaks were boats made of walrus skins stretched over wooden frames.  
Letterpress printed on album page: Eskimos in Umiaks, Plover Bay, Siberia.  
Photograph taken by W.B. Devereux, mining engineer, member of the 1899 Harriman Expedition.",Yuit Eskimos--Clothing & dress--Russia--Plover Bay; Leather garments--Russia (Federation)--Plover Bay; Fur garments; Steamboats--Russia--Siberia,[remove/add to LCSH],Harriman Alaska Expedition (1899); George W. Elder (Steamship); Yuit Eskimos--Boats--Russia (Federation)--Plover Bay; Parkas--Russia (Federation)--Plover Bay; Plover Bay (Russia),George W. Elder (Steamship); Indigenous peoples--Russia (Federation)--Providence Bay; Umiaks--Russia (Federation)--Providence Bay; Steamboats--Russia (Federation)--Providence Bay; Fur garments--Russia (Federation)--Providence Bay; Leather garments--Russia (Federation)--Providence Bay; Parkas--Russia (Federation)--Providence Bay,"Title || Eskimos in umiaks alongside the GEO. W. ELDER, Plover Bay, Siberia, July 1899. || 2023-10;; Subjects (LCTGM) || Yuit Eskimos--Clothing & dress--Russia--Plover Bay || 2023-10;; Subjects (LCSH) || Yuit Eskimos--Boats--Russia (Federation)--Plover Bay || 2023-10",Russia--Siberia--Plover Bay,Russia (Federation)--Providence Bay,Harriman Alaska Expedition Collection,HAR053,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.washington.edu/specialcollections/services/reproduction/reproduction Please cite the Order Number","University of Washington Libraries, Special Collections, [Order Number or Negative Number]",NA2107,"University of Washington Libraries, Special Collections",Harriman Alaska Expedition Collection. PH Coll 333,http://archiveswest.orbiscascade.org/ark:/80444/xv20530,Photograph; image,"silver gelatin, b&w             ",Scanned from a photographic print using a Microtek Scanmaker 9600XL at 72 dpi in JPEG format at compression rate 3. 11/1998.,,,,Devereux [85],University of Washington Libraries. Special Collections Division,,http://rightsstatements.org/vocab/CNE/1.0/,For information on permissions for use and reproductions please visit UW Libraries Special Collections Use Permissions page: http://www.lib.washington.edu/specialcollections/services/permission-for-use,StillImage,special collections,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/harriman/id/176,176,178.jpg,Y
BMR 2023-10-27,SF 10/26/23,"Eskimo summer house, or topek, constructed of reindeer skins stretched over poles, Plover Bay, Siberia, July 1899.","Siberian Yupik summer house, or topek, constructed of reindeer skins stretched over poles, Plover Bay, Siberia, July 1899","Curtis, Edward S., 1868-1952",1899-07,"July, 1899",1899,"From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 161.  Shows inflated seal skins hanging from dwellings.  Caption on image: Eskimo Village--Plover Bay  Photograph taken by Edward S. Curtis, official photographer, member of the 1899 Harriman Alaska Expedition.","From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 161. Shows inflated seal skins hanging from dwellings.  
Letterpress printed on album page: Eskimo Village--Plover Bay.  
Photograph taken by Edward S. Curtis, official photographer, member of the 1899 Harriman Alaska Expedition.",Yuit Eskimos--Structures--Russia (Federation)--Plover Bay; Hides & skins,remove/add to LCSH,Harriman Alaska Expedition (1899); Yuit Eskimos--Dwellings--Russia (Federation)--Plover Bay; Plover Bay (Russia),Tupiks; Indigenous peoples--Dwellings--Russia (Federation)--Providence Bay; Hides and skins--Russia (Federation)--Providence Bay; Providence Bay (Russia),"Title || Eskimo summer house, or topek, constructed of reindeer skins stretched over poles, Plover Bay, Siberia, July 1899. || 2023-10;; Subjects (LCTGM) || Yuit Eskimos--Structures--Russia (Federation)--Plover Bay || 2023-10;; Subjects (LCSH) || Yuit Eskimos--Dwellings--Russia (Federation)--Plover Bay || 2023-10",Russia--Siberia--Plover Bay,Russia (Federation)--Providence Bay,Harriman Alaska Expedition Collection,HAR047,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.washington.edu/specialcollections/services/reproduction/reproduction Please cite the Order Number","University of Washington Libraries, Special Collections, [Order Number or Negative Number]",NA2111,"University of Washington Libraries, Special Collections",Harriman Alaska Expedition Collection. PH Coll 333,http://archiveswest.orbiscascade.org/ark:/80444/xv20530,Photograph; image,"silver gelatin, b&w             ",Scanned from a photographic print using a Microtek Scanmaker 9600XL at 72 dpi in JPEG format at compression rate 3. 11/1998.,,,,E.S. Curtis x376,University of Washington Libraries. Special Collections Division,,http://rightsstatements.org/vocab/CNE/1.0/,For information on permissions for use and reproductions please visit UW Libraries Special Collections Use Permissions page: http://www.lib.washington.edu/specialcollections/services/permission-for-use,StillImage,special collections,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/harriman/id/177,177,179.jpg,Y
"BMR
2023-11-02",SF 10/26/23,"Eskimo woman and children  in camp dressed in reindeer-skin parkas and sealskin boots, Plover Bay, Siberia, July 1899.","Siberian Yupik woman and children in camp dressed in reindeer-skin parkas and sealskin boots, Plover Bay, Siberia, July 1899","Curtis, Edward S., 1868-1952",1899-07,"July, 1899",1899,"From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 159.  Caption on image: Plover Bay Eskimos  Photograph taken by Edward S. Curtis, official photographer, member of the 1899 Harriman Alaska Expedition.","From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 159. 
Letterpress printed on album page: Plover Bay Eskimos.  
Photograph taken by Edward S. Curtis, official photographer, member of the 1899 Harriman Alaska Expedition.",Yuit Eskimos--Women--Clothing & dress--Russia (Federation)--Plover Bay; Yuit Eskimos--Children--Clothing & dress--Russia (Federation)--Plover Bay; Leather garments--Russia (Federation)--Plover Bay; Fur garments; Group portraits,remove/add to LCSH,Harriman Alaska Expedition (1899); Parkas--Russia (Federation)--Plover Bay; Plover Bay (Russia),"Women, Yuit; Children, Yuit; Indigenous peoples--Russia (Federation)--Providence Bay; Fur garments--Russia (Federation)--Providence Bay; Leather garments--Russia (Federation)--Providence Bay; Parkas--Russia (Federation)--Providence Bay; Providence Bay (Russia)","Title || Eskimo woman and children  in camp dressed in reindeer-skin parkas and sealskin boots, Plover Bay, Siberia, July 1899. || 2023-10;; Subjects (LCTGM) || Yuit Eskimos--Women--Clothing & dress--Russia (Federation)--Plover Bay || 2023-10;; Subjects (LCTGM) || Yuit Eskimos--Children--Clothing & dress--Russia (Federation)--Plover Bay || 2023-10",Russia--Siberia--Plover Bay,Russia (Federation)--Providence Bay,Harriman Alaska Expedition Collection,HAR050,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.washington.edu/specialcollections/services/reproduction/reproduction Please cite the Order Number","University of Washington Libraries, Special Collections, [Order Number or Negative Number]",NA2109,"University of Washington Libraries, Special Collections",Harriman Alaska Expedition Collection. PH Coll 333,http://archiveswest.orbiscascade.org/ark:/80444/xv20530,Photograph; image,"silver gelatin, b&w             ",Scanned from a photographic print using a Microtek Scanmaker 9600XL at 72 dpi in JPEG format at compression rate 3. 11/1998.,,,,E.S. Curtis x369a,University of Washington Libraries. Special Collections Division,,http://rightsstatements.org/vocab/CNE/1.0/,For information on permissions for use and reproductions please visit UW Libraries Special Collections Use Permissions page: http://www.lib.washington.edu/specialcollections/services/permission-for-use,StillImage,special collections,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/harriman/id/178,178,180.jpg,Y
"BMR
2023-11-02",SF 10/26/23,"Eskimos in umiaks alongside the GEO. W. ELDER, Plover Bay, Siberia, July 1899.","Siberian Yupik people in umiaks alongside the GEO. W. ELDER, Plover Bay, Siberia, July 1899","Merriam, C. Hart (Clinton Hart), 1855-1942",1899-07,"July, 1899",1899,"From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 157, right.  Umiaks were boats made of walrus skins stretched over wooden frames.  Caption on image: Eskimos in Umiaks, Plover Bay, Siberia  Photograph taken by Dr. Clinton Hart Merriam, Chief of the Biological Survey, U.S. Department of Agriculture, member of the 1899 Harriman Alaska Expedition.","From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 157, right.  
Umiaks were boats made of walrus skins stretched over wooden frames.  
Letterpress printed on album page: Eskimos in Umiaks, Plover Bay, Siberia.  
Photograph taken by Dr. Clinton Hart Merriam, Chief of the Biological Survey, U.S. Department of Agriculture, member of the 1899 Harriman Alaska Expedition.",Yuit Eskimos--Clothing & dress--Russia (Federation)--Plover Bay; Steamboats--Russia (Federation)--Plover Bay; Leather garments--Russia (Federation)--Plover Bay; Fur garments,remove/add to LCSH,Harriman Alaska Expedition (1899); George W. Elder (Steamship); Yuit Eskimos--Boats--Russia (Federation)--Plover Bay; Parkas--Russia (Federation)--Plover Bay; Plover Bay (Russia),George W. Elder (Steamship); Indigenous peoples--Russia (Federation)--Providence Bay; Umiaks--Russia (Federation)--Providence Bay; Steamboats--Russia (Federation)--Providence Bay; Fur garments--Russia (Federation)--Providence Bay; Leather garments--Russia (Federation)--Providence Bay; Parkas--Russia (Federation)--Providence Bay,"Title || Eskimos in umiaks alongside the GEO. W. ELDER, Plover Bay, Siberia, July 1899. || 2023-10;; Subjects (LCTGM) || Yuit Eskimos--Clothing & dress--Russia (Federation)--Plover Bay || 2023-10;; Subjects (LCSH) || Yuit Eskimos--Boats--Russia (Federation)--Plover Bay || 2023-10",Russia--Siberia--Plover Bay,Russia (Federation)--Providence Bay,Harriman Alaska Expedition Collection,HAR052,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.washington.edu/specialcollections/services/reproduction/reproduction Please cite the Order Number","University of Washington Libraries, Special Collections, [Order Number or Negative Number]",NA2107,"University of Washington Libraries, Special Collections",Harriman Alaska Expedition Collection. PH Coll 333,http://archiveswest.orbiscascade.org/ark:/80444/xv20530,Photograph; image,"silver gelatin, b&w             ",Scanned from a photographic print using a Microtek Scanmaker 9600XL at 72 dpi in JPEG format at compression rate 3. 11/1998.,,,,Merriam 235,University of Washington Libraries. Special Collections Division,,http://rightsstatements.org/vocab/CNE/1.0/,For information on permissions for use and reproductions please visit UW Libraries Special Collections Use Permissions page: http://www.lib.washington.edu/specialcollections/services/permission-for-use,StillImage,special collections,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/harriman/id/181,181,183.jpg,Y
"BMR
2023-11-02",SF 10/26/23,"Two Eskimos, one woman and one man, in camp, Plover Bay, Siberia, July 1899.","Siberian Yupik woman and man in camp, Plover Bay, Siberia, July 1899","Devereux, W.B.",1899-07,"July, 1899",1899,"From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 160, left.  Caption on image: Plover Bay  Photograph taken by W.B. Devereux, mining engineer, member of the 1899 Harriman Expedition.","From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 160, left.  
Letterpress printed on album page: Plover Bay.  
Photograph taken by W.B. Devereux, mining engineer, member of the 1899 Harriman Expedition.",Yuit Eskimos--Clothing & dress--Russia (Federation)--Plover Bay; Yuit Eskimos--Women--Clothing & dress--Russia (Federation)--Plover Bay; Leather garments--Russia (Federation)--Plover Bay; Fur garments,,Harriman Alaska Expedition (1899); Parkas--Russia (Federation)--Plover Bay; Plover Bay (Russia),"Indigenous peoples--Russia (Federation)--Providence Bay; Women, Yuit; Fur garments--Russia (Federation)--Providence Bay; Leather garments--Russia (Federation)--Providence Bay; Parkas--Russia (Federation)--Providence Bay; Providence Bay (Russia)","Title || Two Eskimos, one woman and one man, in camp, Plover Bay, Siberia, July 1899. || 2023-10;; Subjects (LCTGM) || Yuit Eskimos--Clothing & dress--Russia (Federation)--Plover Bay || 2023-10;; Subjects (LCTGM) || Yuit Eskimos--Women--Clothing & dress--Russia (Federation)--Plover Bay || 2023-10",Russia--Siberia--Plover Bay,Russia (Federation)--Providence Bay,Harriman Alaska Expedition Collection,HAR231,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.washington.edu/specialcollections/services/reproduction/reproduction Please cite the Order Number","University of Washington Libraries, Special Collections, [Order Number or Negative Number]",NA2110,"University of Washington Libraries, Special Collections",Harriman Alaska Expedition Collection. PH Coll 333,http://archiveswest.orbiscascade.org/ark:/80444/xv20530,Photograph; image,"silver gelatin, b&w             ",Scanned from a photographic print using a Microtek Scanmaker 9600XL at 72 dpi in JPEG format at compression rate 3. 11/1998.,,,,Devereux [87],University of Washington Libraries. Special Collections Division,,http://rightsstatements.org/vocab/CNE/1.0/,For information on permissions for use and reproductions please visit UW Libraries Special Collections Use Permissions page: http://www.lib.washington.edu/specialcollections/services/permission-for-use,StillImage,special collections,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/harriman/id/184,184,186.jpg,Y
"BMR
2023-11-02",SF 10/26/23,"Two Eskimos, one woman and one man, in camp, Plover Bay, Siberia, July 1899.","Siberian Yupik woman and man in camp, Plover Bay, Siberia, July 1899","Gilbert, Grove Karl, 1843-1918",1899-07,"July, 1899",1899,"From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 158.  Caption on image: Eskimos--Plover Bay  Photograph taken by G.K. Gilbert, Geologist, U.S. Geological Survey, member of the 1899 Harriman Alaska Expedition.","From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 158.  
Letterpress printed on album page: Eskimos--Plover Bay.  
Photograph taken by G.K. Gilbert, Geologist, U.S. Geological Survey, member of the 1899 Harriman Alaska Expedition.",Yuit Eskimos--Clothing & dress--Russia (Federation)--Plover Bay; Yuit Eskimos--Women--Clothing & dress--Russia (Federation)--Plover Bay; Leather garments--Russia (Federation)--Plover Bay; Fur garments,,Harriman Alaska Expedition (1899); Parkas--Russia (Federation)--Plover Bay; Plover Bay (Russia),"Indigenous peoples--Russia (Federation)--Providence Bay; Women, Yuit; Fur garments--Russia (Federation)--Providence Bay; Leather garments--Russia (Federation)--Providence Bay; Parkas--Russia (Federation)--Providence Bay","Title || Two Eskimos, one woman and one man, in camp, Plover Bay, Siberia, July 1899. || 2023-10;; Subjects (LCTGM) || Yuit Eskimos--Clothing & dress--Russia (Federation)--Plover Bay || 2023-10;; Subjects (LCTGM) || Yuit Eskimos--Women--Clothing & dress--Russia (Federation)--Plover Bay || 2023-10",Russia--Siberia--Plover Bay,Russia (Federation)--Providence Bay,Harriman Alaska Expedition Collection,HAR230,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.washington.edu/specialcollections/services/reproduction/reproduction Please cite the Order Number","University of Washington Libraries, Special Collections, [Order Number or Negative Number]",NA2108,"University of Washington Libraries, Special Collections",Harriman Alaska Expedition Collection. PH Coll 333,http://archiveswest.orbiscascade.org/ark:/80444/xv20530,Photograph; image,"silver gelatin, b&w             ",Scanned from a photographic print using a Microtek Scanmaker 9600XL at 72 dpi in JPEG format at compression rate 3. 11/1998.,,,,Gilbert [422],University of Washington Libraries. Special Collections Division,,http://rightsstatements.org/vocab/CNE/1.0/,For information on permissions for use and reproductions please visit UW Libraries Special Collections Use Permissions page: http://www.lib.washington.edu/specialcollections/services/permission-for-use,StillImage,special collections,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/harriman/id/186,186,188.jpg,Y
"BMR
2023-11-02",SF 10/26/23,"Two Eskimos, one woman and one man, dressed in reindeer-skin parkas, with two of the expedition women standing in the background, Plover Bay, Siberia, July 1899.","Siberian Yupik woman and man, dressed in reindeer-skin parkas, with two of the expedition women standing in the background, Plover Bay, Siberia, July 1899","Devereux, W.B.",1899-07,"July, 1899",1899,"From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 160, right.  Caption on image: Plover Bay  Photograph taken by W.B. Devereux, mining engineer, member of the 1899 Harriman Expedition.","From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 160, right.  
Letterpress printed on album page: Plover Bay.  
Photograph taken by W.B. Devereux, mining engineer, member of the 1899 Harriman Expedition.",Yuit Eskimos--Clothing & dress--Russia (Federation)--Plover Bay; Yuit Eskimos--Women--Clothing & dress--Russia (Federation)--Plover Bay; Leather garments--Russia (Federation)--Plover Bay; Fur garments,,Harriman Alaska Expedition (1899); Parkas--Russia (Federation)--Plover Bay; Plover Bay (Russia),"Indigenous peoples--Russia (Federation)--Providence Bay; Women, Yuit; Fur garments--Russia (Federation)--Providence Bay; Leather garments--Russia (Federation)--Providence Bay; Parkas--Russia (Federation)--Providence Bay; Providence Bay (Russia)","Title || Two Eskimos, one woman and one man, dressed in reindeer-skin parkas, with two of the expedition women standing in the background, Plover Bay, Siberia, July 1899. || 2023-10;; Subjects (LCTGM) || Yuit Eskimos--Women--Clothing & dress--Russia (Federation)--Plover Bay || 2023-10;; Subjects (LCTGM) || Yuit Eskimos--Women--Clothing & dress--Russia (Federation)--Plover Bay || 2023-10",Russia--Siberia--Plover Bay,Russia (Federation)--Providence Bay,Harriman Alaska Expedition Collection,HAR229,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.washington.edu/specialcollections/services/reproduction/reproduction Please cite the Order Number","University of Washington Libraries, Special Collections, [Order Number or Negative Number]",NA2110,"University of Washington Libraries, Special Collections",Harriman Alaska Expedition Collection. PH Coll 333,http://archiveswest.orbiscascade.org/ark:/80444/xv20530,Photograph; image,"silver gelatin, b&w             ",Scanned from a photographic print using a Microtek Scanmaker 9600XL at 72 dpi in JPEG format at compression rate 3. 11/1998.,,,,Devereux [84],University of Washington Libraries. Special Collections Division,,http://rightsstatements.org/vocab/CNE/1.0/,For information on permissions for use and reproductions please visit UW Libraries Special Collections Use Permissions page: http://www.lib.washington.edu/specialcollections/services/permission-for-use,StillImage,special collections,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/harriman/id/187,187,189.jpg,Y
"BMR
2023-11-02",SF 10/26/23,"Eskimo summer house, or topek, and fireplace, Plover Bay, Siberia, July 1899.","Siberian Yupik summer house, or topek, and fireplace, Plover Bay, Siberia, July 1899","Curtis, Edward S., 1868-1952",1899-07,"July, 1899",1899,"From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 163.  Caption on image: House and Hearth--Plover Bay  Photograph taken by Edward S. Curtis, official photographer, member of the 1899 Harriman Alaska Expedition.","From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 163.  
Letterpress printed on album page: House and Hearth--Plover Bay.  
Photograph taken by Edward S. Curtis, official photographer, member of the 1899 Harriman Alaska Expedition.",Yuit Eskimos--Structures--Russia (Federation)--Plover Bay; Fireplaces--Russia (Federation)--Plover Bay,,Harriman Alaska Expedition (1899); Yuit Eskimos--Dwellings--Russia (Federation)--Plover Bay; Plover Bay (Russia),Tupiks; Indigenous peoples--Dwellings--Russia (Federation)--Providence Bay; Hides and skins--Russia (Federation)--Providence Bay; Fireplaces--Russia (Federation)--Providence Bay; Providence Bay (Russia),"Title || Eskimo summer house, or topek, and fireplace, Plover Bay, Siberia, July 1899. || 2023-10;; Subjects (LCTGM) || Yuit Eskimos--Structures--Russia (Federation)--Plover Bay || 2023-10;; Subjects (LCSH) || Yuit Eskimos--Dwellings--Russia (Federation)--Plover Bay || 2023-10",Russia--Siberia--Plover Bay,Russia (Federation)--Providence Bay,Harriman Alaska Expedition Collection,HAR046,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.washington.edu/specialcollections/services/reproduction/reproduction Please cite the Order Number","University of Washington Libraries, Special Collections, [Order Number or Negative Number]",NA2113,"University of Washington Libraries, Special Collections",Harriman Alaska Expedition Collection. PH Coll 333,http://archiveswest.orbiscascade.org/ark:/80444/xv20530,Photograph; image,"silver gelatin, b&w             ",Scanned from a photographic print using a Microtek Scanmaker 9600XL at 72 dpi in JPEG format at compression rate 3. 11/1998.,,,,E.S. Curtis x374,University of Washington Libraries. Special Collections Division,,http://rightsstatements.org/vocab/CNE/1.0/,For information on permissions for use and reproductions please visit UW Libraries Special Collections Use Permissions page: http://www.lib.washington.edu/specialcollections/services/permission-for-use,StillImage,special collections,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/harriman/id/191,191,193.jpg,Y
"BMR
2023-11-02",SF 10/26/23,"Eskimo winter hut constructed of whale bones, sod and walrus and seal skins, Plover Bay, Siberia, July 1899.","Siberian Yupik winter hut constructed of whale bones, sod and walrus and seal skins, Plover Bay, Siberia, July 1899","Curtis, Edward S., 1868-1952",1899-07,"July, 1899",1899,"From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 165.  Caption on image: The Winter Topek  Photograph taken by Edward S. Curtis, official photographer, member of the 1899 Harriman Alaska Expedition.","From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 165.  
Letterpress printed on album page: The Winter Topek.  
Photograph taken by Edward S. Curtis, official photographer, member of the 1899 Harriman Alaska Expedition.",Yuit Eskimos--Structures--Russia (Federation)--Plover Bay,,Harriman Alaska Expedition (1899); Yuit Eskimos--Dwellings--Russia (Federation)--Plover Bay; Plover Bay (Russia),Indigenous peoples--Dwellings--Russia (Federation)--Providence Bay; Hides and skins--Russia (Federation)--Providence Bay; Providence Bay (Russia),"Title || Eskimo winter hut constructed of whale bones, sod and walrus and seal skins, Plover Bay, Siberia, July 1899. || 2023-10;; Subjects (LCTGM) || Yuit Eskimos--Structures--Russia (Federation)--Plover Bay || 2023-10;; Subjects (LCSH) || Yuit Eskimos--Dwellings--Russia (Federation)--Plover Bay || 2023-10",Russia--Siberia--Plover Bay,Russia (Federation)--Providence Bay,Harriman Alaska Expedition Collection,HAR049,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.washington.edu/specialcollections/services/reproduction/reproduction Please cite the Order Number","University of Washington Libraries, Special Collections, [Order Number or Negative Number]",NA2115,"University of Washington Libraries, Special Collections",Harriman Alaska Expedition Collection. PH Coll 333,http://archiveswest.orbiscascade.org/ark:/80444/xv20530,Photograph; image,"silver gelatin, b&w             ",Scanned from a photographic print using a Microtek Scanmaker 9600XL at 72 dpi in JPEG format at compression rate 3. 11/1998.,,,,E.S. Curtis x367,University of Washington Libraries. Special Collections Division,,http://rightsstatements.org/vocab/CNE/1.0/,For information on permissions for use and reproductions please visit UW Libraries Special Collections Use Permissions page: http://www.lib.washington.edu/specialcollections/services/permission-for-use,StillImage,special collections,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/harriman/id/192,192,194.jpg,Y
"BMR
2023-11-02",SF 10/26/23,"Members of the expedition bartering with the Eskimos, Plover Bay, Siberia, July 1899.","Members of the expedition bartering with Siberian Yupik people, Plover Bay, Siberia, July 1899","Curtis, Edward S., 1868-1952",1899-07,"July, 1899",1899,"From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 166.  Left to right:  Dr. George F. Nelson  (chaplain), Peter Doran (Captain), Dr. Lewis Rutherford Morris (physician), Daniel G. Elliot (zoologist)  Caption on image: A Doubtful Bargain  Named under photo are...  Photograph taken by Edward S. Curtis, official photographer, member of the 1899 Harriman Alaska Expedition.","From album entitled: A Souvenir of the Harriman Alaska Expedition, May - August, 1899. Volume II, Cook Inlet to Bering Strait and the Return Voyage, leaf 166. 
Left to right:  Dr. George F. Nelson  (chaplain), Peter Doran (Captain), Dr. Lewis Rutherfurd Morris (physician), Daniel G. Elliot (zoologist)
Letterpress printed on album page: Nelson Doran Morris Elliot. A Doubtful Bargain.  
Photograph taken by Edward S. Curtis, official photographer, member of the 1899 Harriman Alaska Expedition.",Yuit Eskimos--Structures--Russia (Federation)--Plover Bay; Yuit Eskimos--Clothing & dress--Russia (Federation)--Plover Bay; Leather garments--Russia (Federation)--Plover Bay; Fur garments; Barter--Russia (Federation)--Plover Bay; Group portraits,,"Harriman Alaska Expedition (1899); Yuit Eskimos--Dwellings--Russia (Federation)--Plover Bay; Parkas--Russia (Federation)--Plover Bay; Nelson, George F. (George Francis), 1842-1932; Doran, Peter; Morris, Lewis Rutherford; Elliot, Daniel G.","Harriman Alaska Expedition (1899); Nelson, George F. (George Francis), 1842-1932; Doran, Peter A.; Morris, Lewis Rutherfurd, 1862-1936; Elliot, Daniel Giraud, 1835-1915; Indigenous peoples--Russia (Federation)--Providence Bay; Barter--Russia (Federation)--Providence Bay; Leather garments--Russia (Federation)--Providence Bay; Fur garments--Russia (Federation)--Providence Bay; Parkas--Russia (Federation)--Providence Bay; Indigenous peoples--Dwellings--Russia (Federation)--Providence Bay; Hides and skins--Russia (Federation)--Providence Bay; Providence Bay (Russia)","Title || Members of the expedition bartering with the Eskimos, Plover Bay, Siberia, July 1899. || 2023-10;; Subjects (LCTGM) || Yuit Eskimos--Structures--Russia (Federation)--Plover Bay || 2023-10;; Subjects (LCTGM) || Yuit Eskimos--Clothing & dress--Russia (Federation)--Plover Bay || 2023-10;; Subjects (LCSH) || Yuit Eskimos--Dwellings--Russia (Federation)--Plover Bay || 2023-10",Russia--Siberia--Plover Bay,Russia (Federation)--Providence Bay,Harriman Alaska Expedition Collection,HAR126,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.washington.edu/specialcollections/services/reproduction/reproduction Please cite the Order Number","University of Washington Libraries, Special Collections, [Order Number or Negative Number]",NA2116,"University of Washington Libraries, Special Collections",Harriman Alaska Expedition Collection. PH Coll 333,http://archiveswest.orbiscascade.org/ark:/80444/xv20530,Photograph; image,"silver gelatin, b&w             ",Scanned from a photographic print using a Microtek Scanmaker 9600XL at 72 dpi in JPEG format at compression rate 3. 11/1998.,,,,E.S. Curtis x378,University of Washington Libraries. Special Collections Division,,http://rightsstatements.org/vocab/CNE/1.0/,For information on permissions for use and reproductions please visit UW Libraries Special Collections Use Permissions page: http://www.lib.washington.edu/specialcollections/services/permission-for-use,StillImage,special collections,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/harriman/id/193,193,195.jpg,Y
